Member Company / Affiliation,Type,Title,Description,Value / Outcome,Key Data Domains,Current Status,Anticipated Start Date,Est. T-Shirt Size ,Est. Time,Partner(s)?
DDPA - National Tools,Use Case,National Data Warehouse,Central repository for all of Delta Dental network data in one place in Snowflake. Member Companies’ data is brought in to unlock a variety of use cases that span across the entire DD network.,,Foundation,In Production,,,,
DDPA - National Tools,Use Case,OIG Exclusions Database,Retrieve gvernment OIG exlusion data to identify bad actors and block from systems,,Operations,In Production,,,,
DDPA - National Tools,Use Case,Opportunity Database,National data aggregation and reporting of sales data to ensure national compliance with Delta Dental membership standards,,Compliance,In Production,,,,
DDPA - National Tools,Use Case,Network Optimization Tool (DDWI),"Intent is to build a Semantic Layer to standardize definitions/metrics across the organization. Enable standardication across claims, eligibility, and provider",,,In Development,,,,
DDPA / DDWI / NorthWinds,Migration,OpenFlow CDC for SQL Server,OpenFlow CDC SQL Server data warehouse.  DDPA currently uses it's Matillion instance to pull in DDWI/NorthWinds legacy SQL Server wareshouse.  Potentially move this to OpenFlow.,,,Idea,,,,Potentially Squadron
DDWA / Triforza,Migration,,"Migration of existing EDW, currently sitting on SQL Server (need to confirm) over to Snowflake. Lift and Shift.",,,,2H2026,L,8 Months,
DDWI,Use Case,Network Optimization Tools,Tool built/used by DDWI to manage provider network - looking to expand nationally,,Provider,Implementing,,,,
NEDD,Migration,Initial Snowflake Migration,"Potential OpenFlow CDC from their own prem application database, land into Snowflake Raw layer, and start conforming/modeling in alignment with NDW.",,All,Evaluation,1H2026,M,4-6 Months,
NorthWinds,Migration,KeySpring Data Warehouse,"Standing up new Snowflake data warehouse extracting data from their Keyspring platform (HealthEdge back end), landing into raw layer and then conforming/modeling.  In close partnership with NDW.",,,In Development,2H2026,XL,12 Months,
NorthWinds,Migration,Legacy Data Warehouse,Legacy SQL Server warehouse that supports legacy claims system (Advantech).  Potential lift and shift opportunity.,,,Idea,2H2026,XL,12 Months,
DDMI,Use Case,Fortifying Data Movement and Observability,DDMI currently uses SteamSets for data movement. They do not have a holistic data observability tool,,,Idea,,,,
DDMI,Use Case,Optimizing Data Transformation,Looking for the best intersection of performance and cost. In Snowflake they are using their own queries plus some DBT. On-prem uses Informatica,,,Idea,,,,
DDMI,Use Case,Semantic Layer,,,All,Idea,,,,
DDCA,Use Case,ADM EDP Ph II Data Federal,,,,,CY2026,,,
DDCA,Use Case,Actuarial Direct Usage (Self Service),,,,,CY2026,,,
DDCA,Use Case,EDW Decommision,"Some reports currently rely on Oracle EDW, most data is already ingested in Snowflake. Praveen outlined a plan to migrate 50-70% of workloads by year-end CY2025, with the remainder to be completed next year, including repointing reports to Snowflake and rebuilding universes",,,In Progress,Q1 2026,,,
DDCA,Use Case,EDW Decommision Form 5500,,,,In Progress,Q1 2026,,,
DDCA,Use Case,EDW Decom BOBJ Reports,,,,,CY2026,,,
DDCA,Use Case,Skygen (Qlik + Consumption),,,,,CY2026,,,
DDCA,Use Case,PAM API (Pract Location + Term),Practice Management tool,,,,CY2026,,,
DDCA,Use Case,Application Track ADM,Applications that the data team uses today. Plan to review how applications interact with snowflake. Planning for standardization. Source will be Snowflake,,,In Progress,CY2026,,,
DDCA,Use Case,Dataiku,Models will be run from Snowflake,,,,CY2026,,,
DDCA,Use Case,AI Lab,"Enabling for internal technology team members to do R&D. Not Snowflake specific, there are Azure tools in use too. Opportunity for internal users to develop new processes and patterns",,,In Progress,CY2026,,,
DDCA,Use Case,BOBJ PBI Conversion,Plan to bring real time data into Snowflake. Will point business objects into raw layer. Focus on 30-40% of data this year with effort to continue into 2027,,,Planning,CY2026,,,
DDCA,Use Case,MSS New User Groups Onboard (Innov DB),"""Managed Self Service"" business stakeholders are given the ability to create reports and query data from Snowflake. Will have need for skilled resources, particularly AI/ML engineers and data modelers, to support these initiatives",,,In Progress,CY2026,,,
DDCA,,Data Cloud,,,,,CY2026,,,
DDCA,Use Case,Cortex Analyst,POC in progress right now to determine capabilities and resulting use cases,,,Ideation / In Progress,CY2026,,,
DDCA,,Near Real time replication needs,,,,,CY2026,,,
DDCA,,Semantic Layer ,"Need for a semantic layer to expose data to users through EDP platform, using Calibra for metadata and business glossaries. Concerns about potentially rebuilding semantic models in YAML for Cortex, which would duplicate work already done in JSON for the gold publishing layer.",,,Ideation,,,,
DDWA / Triforza,Use Case,Foundational FWA Detection,The core migration of the existing SQL EDW to Snowflake. This is the essential first step that establishes the technical bedrock for all future data and AI capabilities.,,,,,XXL,,
DDWA / Triforza,Use Case,Data Engineering Automation & Governance,"(Data Platform) Establish robust, automated data ingestion pipelines (e.g., using Fivetran, dbt) and implement a data governance framework (e.g., data catalog, quality checks). This ensures all data on the platform is reliable, trusted, and ready for analytics.",,,,,XL,,
DDWA / Triforza,Use Case,Self-Service Analytics Enablement,"(Data) Roll out a governed self-service analytics environment using tools like PowerBI connected to Snowflake. This empowers business users to answer their own questions, reducing the burden on IT and fostering a data-driven culture, mirroring the successful path of DDMI.",,,,,L,,
DDWA / Triforza,Use Case,AI-Powered Claims Validation,"(AI/ML) Deploy an AI model to ""scrub"" claims before submission. The model identifies common errors, missing documentation, or incorrect codes, drastically reducing denial rates and the high cost of rework. This is a high-impact, rapid-ROI application of AI .",,,,,XL,,
DDWA / Triforza,Use Case,Provider Network Performance Analytics,"(Analytics) Develop dashboards to analyze provider performance, cost efficiency, and treatment patterns. This provides the data needed to optimize the network, support value-based care initiatives, and manage costs more effectively.",,,,,L,,
DDWA / Triforza,Use Case,Foundational FWA Detection,"(AI/ML) Implement an initial Fraud, Waste, and Abuse detection system. This moves beyond simple rules to use anomaly detection and peer-group analysis in Snowflake to flag suspicious billing patterns that were previously undetectable, serving as a precursor to more advanced models.",,,,,XL,,
DDWA / Triforza,Use Case,Data Science Platform Setup,"(Data Platform) Establish a dedicated workspace within Snowflake (e.g., Snowpark) for data scientists. This provides the tools and secure environment needed to begin developing and testing the next generation of custom machine learning models.",,,,,M,,
DDWA / Triforza,Use Case,Connect to Delta Dental Analytics Hub,"(Data Sharing) A pivotal strategic step. Establish a secure data-sharing connection into the cross-consortium Analytics Hub. This gives DDWA access to national-scale data and advanced models it could not build alone, providing an immense competitive advantage.",,,,,XXL,,
DDWA / Triforza,Use Case,Consume Consortium FWA Models,"(AI/ML) Instead of building the most complex AI fraud models from scratch, consume the superior, multi-state FWA models developed by leaders like DDPA/DDCA via the Analytics Hub. This provides top-tier fraud prevention as a service.",,,,,L,,
DDWA / Triforza,Use Case,Generative AI for Claims Narrative Summarization,"(AI/ML) Deploy a Generative AI model to read and summarize unstructured text from clinical notes and claim narratives. This provides human adjudicators with a concise summary, dramatically accelerating the review of complex claims.",,,,,L,,
DDWA / Triforza,Use Case,Predictive Member Outreach,"(AI/ML) Use machine learning to analyze member data and predict individuals at high risk for lapsing care or declining necessary treatment. This enables proactive, targeted outreach to improve health outcomes and member retention.",,,,,M,,
DDWA / Triforza,Use Case,Contribute to National Trends Data Product,"(Data Monetization) Securely contribute de-identified data to the Analytics Hub to support the creation of a national-level data product. This creates a new, non-premium revenue stream for DDWA as a participant in the consortium.",,,,,M,,
DDWA / Triforza,Use Case,"Develop ""Provider Efficiency"" Native App","(Snowflake Native App) (Triforza-led) Build a Snowflake Native App that can be deployed to provider networks. The app could offer AI-powered eligibility verification or automated claim status checks, helping providers reduce their own administrative costs and making DDWA their preferred partner.",,,,,XL,,
DDWA / Triforza,Use Case,Real-Time Insurance Verification API,(Data Engineering) (Triforza-led) Develop a real-time API that allows provider offices to instantly verify patient eligibility and benefits directly from their own systems. This reduces administrative friction and dramatically improves the provider experience,,,,,L,,
